ID,TI,DO,UR,PY
280,Toothache among dental patients attending a Nigerian secondary healthcare setting,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922008680&partnerID=40&md5=f7693a3c44924b0611ce5c56e115fbc3,2013
281,The role of dentists as a stop-gap in the initial management of patients with delusional halitosis,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921320145&partnerID=40&md5=86a631bd028cb190cf4ecc295dcee949,2013
282,Oro-facial sarcomas: a review of 88 cases in a Tertiary Institution in Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920755314&partnerID=40&md5=064ae2ea926b9130c682f7280a3f3276,2013
283,"Prevention of dental caries: Knowledge, practice and opinion of paediatricians in Lagos",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908497606&partnerID=40&md5=13a7a43df9db9b65dd1af0859bf0e427,2013
284,"Relevance of routine blood pressure assessment among dental patients in Lagos, Nigeria",10.5005/jp-journals-10024-1465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903207900&doi=10.5005%2fjp-journals-10024-1465&partnerID=40&md5=9653ffc962ebcd4417ad2b661c8b000b,2013
285,Facial fracture management in Northwest Nigeria,10.4103/2006-8808.128723,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898011113&doi=10.4103%2f2006-8808.128723&partnerID=40&md5=6ea0406b77623306ab3c84f5942836b5,2013
286,"Knowledge of preventive child oral healthcare among expectant mothers in Port Harcourt, Nigeria",10.1016/j.pdj.2013.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897919689&doi=10.1016%2fj.pdj.2013.03.002&partnerID=40&md5=e0dd5cdff08e382593d430fd85e73010,2013
287,The efficacy of tincture of benzoin compound in the management of extraction sockets of mesio-angularly impacted mandibular third molars,10.1111/ors.12028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897505414&doi=10.1111%2fors.12028&partnerID=40&md5=92069d301a4d46d34da231b1eb628d36,2013
288,Evaluating the impact of a mobile oral telemedicine system on medical management and clinical outcomes of patients with complicated oral lesions in Botswana,10.3233/978-1-61499-289-9-1074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894301173&doi=10.3233%2f978-1-61499-289-9-1074&partnerID=40&md5=cdf9f7164d08e714e3d0b9c5d35f4b60,2013
289,The Wits appraisal among a Nigerian sub-population: An assessment of dental base geometric factors,10.1590/S1677-32252013000400001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892957474&doi=10.1590%2fS1677-32252013000400001&partnerID=40&md5=570c3de1a9d3f34dc8c82a60d0d8a5c0,2013
290,"Oral health practices of adult inhabitants of a traditional community in Ibadan, Nigeria.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891647446&partnerID=40&md5=b97db3cc174ad3008d0062c10a8586dc,2013
291,Prevalence of dental caries and its impact on quality of life (QoL) among HIV-infected children in Kenya,10.17796/jcpd.38.1.62l1q94650j5l815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888857387&doi=10.17796%2fjcpd.38.1.62l1q94650j5l815&partnerID=40&md5=89cba3a35f863641207c8dd3a91a4bef,2013
292,"The relation between oral impacts on daily performances and perceived clinical oral conditions in primary school children in the Ugu District, Kwazulu Natal, South Africa.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884318047&partnerID=40&md5=b95c1a7f556f7548fc856d1fc8e5a71b,2013
293,"Paedodontic general anaesthesia and compliance with follow-up visits at a tertiary oral and dental hospital, South Africa.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884293877&partnerID=40&md5=be9e5689b99e04e6eba994a992582f50,2013
294,Services rendered and barriers faced by public sector oral hygienists in two provinces of South Africa.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883881443&partnerID=40&md5=30677d1d7d012421af6bdc25aadc81d0,2013
295,"Trends and ethnic disparities in oral and oro-pharyngeal cancers in South Africa, 1992-2001.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883862373&partnerID=40&md5=5f0c3ef1a21406727aade631597a2823,2013
296,A survey of endodontic practices among dentists in Nigeria,10.5005/jp-journals-10024-1316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883142014&doi=10.5005%2fjp-journals-10024-1316&partnerID=40&md5=fe4ae90b203b4a4cdb86c95389f419c5,2013
297,Association between breastfeeding and eruption of the first tooth in preschool children in Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882993352&partnerID=40&md5=474dffbe671b1237422b0b684395b2ef,2013
298,"Pain and discomfort associated with orthodontic separator placement in patients attending the Lagos University Teaching Hospital, Lagos, Nigeria.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882936919&partnerID=40&md5=e28e9f558be2ce59d0f391ed90bd1c8b,2013
299,Occupational exposure to sharp injuries among medical and dental house officers in Nigeria,10.2478/s13382-013-0098-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880087610&doi=10.2478%2fs13382-013-0098-y&partnerID=40&md5=629455e9f08764dfecabd5604622eb5e,2013
300,"Pharmacovigilance among dentists: A survey of practitioners in Dakar, Senegal",10.3917/spub.131.0069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876388633&doi=10.3917%2fspub.131.0069&partnerID=40&md5=aa13791ba95453177ac8b50082b2bc30,2013
301,Prognosis of teeth in the line of mandibular fracture: 5-year clinical and radiological follow-up.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875083378&partnerID=40&md5=8bef46e2b0c8c445569168671a0811ea,2013
302,"Health insurance, socio-economic position and racial disparities in preventive dental visits in South Africa",10.3390/ijerph10010178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873815064&doi=10.3390%2fijerph10010178&partnerID=40&md5=52f5c4084d04d0b8fcf34dad227b3bba,2013
303,"Quality of care at a pediatric dental clinic in Ibadan, Nigeria",10.4103/1119-3077.106706,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873669907&doi=10.4103%2f1119-3077.106706&partnerID=40&md5=491e02941990ec3b235069b6253e63a9,2013
304,"The oral hygiene status of institution dwelling orphans in Benin City, Nigeria",10.4103/1119-3077.106732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873641881&doi=10.4103%2f1119-3077.106732&partnerID=40&md5=5cc108a7ca6896ec6857c91a5b447699,2013
305,Orofacial manifestations in HIV positive children attending Mildmay Clinic in Uganda,10.1007/s10266-012-0060-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872817041&doi=10.1007%2fs10266-012-0060-7&partnerID=40&md5=f6f3ae7d0274abd06260bbd7fba762c7,2013
306,Adult cleft lip repair under local anesthesia: An effective technique in resource-poor settings,10.1597/11-256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872735394&doi=10.1597%2f11-256&partnerID=40&md5=ac73725030c8c25400b4b9b494d651f6,2013
307,"Use of plants in oral health care by the population of Mahajanga, Madagascar",10.1016/j.jep.2016.07.076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981513545&doi=10.1016%2fj.jep.2016.07.076&partnerID=40&md5=ae98ed11a0d80347aa9096ea4e5c3050,2016
308,Sports-related dentofacial trauma among high school students in nairobi,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090739763&partnerID=40&md5=4c25ec375d23ea68b0e322431b929855,2016
309,"Perceptions and experiences of dentists towards child abuse and neglect in nairobi city county, kenya",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090730416&partnerID=40&md5=17e77d1427ab13f841257e5d4e038dc5,2016
310,"Self-medication for oral diseases in the city of Ouagadougou, Burkina Faso",10.1051/mbcb/2016042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008474490&doi=10.1051%2fmbcb%2f2016042&partnerID=40&md5=20c2e2093797298aef46f5431d19dedc,2016
311,Factors affecting dental diseases presenting at the University of Ghana Hospital,10.1186/s40064-016-3391-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989915891&doi=10.1186%2fs40064-016-3391-y&partnerID=40&md5=0de90f6d8a13c30bcc99aae51eae3696,2016
312,Caretaker’s caries experience and its association with early childhood caries and children’s oral health-related quality of life: A prospective two-generation study,10.1080/00016357.2016.1225981,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984679660&doi=10.1080%2f00016357.2016.1225981&partnerID=40&md5=226dd267d970c939a862c0b87e389965,2016
313,Social gradient in the cost of oral pain and related dental service utilisation among South African adults,10.1186/s12903-016-0313-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994372642&doi=10.1186%2fs12903-016-0313-x&partnerID=40&md5=2df9d9705f3b87692233b0802772846d,2016
314,Prevalence and family structures related factors associated with crown trauma in school children resident in suburban Nigeria,10.1186/s12903-016-0314-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994344543&doi=10.1186%2fs12903-016-0314-9&partnerID=40&md5=f5fd919b1dd4512f5dc9b19453dd4b5d,2016
315,A 10-year retrospective analysis of 64 cases of cystic lesions of the oral and maxillofacial region in a Nigerian tertiary hospital,10.5001/omj.2016.87,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994651631&doi=10.5001%2fomj.2016.87&partnerID=40&md5=bc2b51e53d288f62b5f9b5afc6e68ef7,2016
316,Oral health related quality of life (OHRQoL) following third molar surgery in Sub-Saharan Africans: An observational study,10.11604/pamj.2016.25.97.7656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012164875&doi=10.11604%2fpamj.2016.25.97.7656&partnerID=40&md5=1ce4b934313739f1be597fd17f820cd8,2016
317,Costs of a school-based dental mobile service in South Africa,10.1186/s12913-016-1827-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992184054&doi=10.1186%2fs12913-016-1827-2&partnerID=40&md5=4dfeb2e2d655b55d93ead782a0dc2e71,2016
318,Retrospective review of the anaesthetic management of maxillectomies and mandibulectomies for benign tumours in sub-Saharan Africa,10.1371/journal.pone.0165090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992690647&doi=10.1371%2fjournal.pone.0165090&partnerID=40&md5=bcf3bcda6d8e79e7074f668f57781cb1,2016
319,Comparison of the prevalence of dental caries in 12-15 year-old children with dental fluorosis and those without dental fluorosis from juja in rural Kenya,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090748119&partnerID=40&md5=a4efe7439a6b813cb0f13690e901b6e1,2016
320,Use of nasal width to estimate the mesio-distal widths of maxillary anterior teeth in a Kenyan population of African descent,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090744848&partnerID=40&md5=43473788348165bc2081ab71d87ac014,2016
321,"Complications of the use of trans-osseous wire osteosynthesis in the managementof compound, unfavorable and non-comminuted mandibular angle fractures",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016397813&partnerID=40&md5=9284d6bb8d187f1b0ce48cf7d674c252,2016
322,"Prevalence and determinants of dental anxiety among adult population in Benin City, Nigeria",10.4103/2278-9626.189252,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009212536&doi=10.4103%2f2278-9626.189252&partnerID=40&md5=462b67051c4d7cc72f737ffac26a4890,2016
323,Odontogenic myxoma: a clinicopathological study in a South African population,10.1111/jop.12421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990701&doi=10.1111%2fjop.12421&partnerID=40&md5=f48cd53ceb82f3dfa785128724a0b95d,2016
324,"Digit sucking, age, sex, and socioeconomic status as determinants of oral hygiene status and gingival health of children in suburban Nigeria",10.1902/jop.2016.150681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985945898&doi=10.1902%2fjop.2016.150681&partnerID=40&md5=bd26d312eabfd549d090bf6c1c10d67a,2016
325,Association between alcohol consumption and periodontal disease among older Nigerians in plateau state: a preliminary study,10.1111/ger.12173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979581184&doi=10.1111%2fger.12173&partnerID=40&md5=f4eba4d12cc9bcd24a991cb81bc636e5,2016
326,Oral health-related quality of life following third molar surgery with or without application of ice pack therapy,10.1007/s10006-016-0558-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965063859&doi=10.1007%2fs10006-016-0558-1&partnerID=40&md5=5cd2a78a0c24dbe61f3371c390f5f3fd,2016
327,"Effects of socio-economic and behavioural factors on early childhood caries among children attending a dental clinic in nairobi, kenya",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090720634&partnerID=40&md5=3c711a2cedae5acafab017b29bb29b0e,2016
328,Do self-efficacy and depression predict oral impacts on daily performances across time? A 2-yr follow-up of students in Tanzania,10.1111/eos.12274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027946472&doi=10.1111%2feos.12274&partnerID=40&md5=b46ee1a203578c65c61863c55cd9dd2d,2016
329,"Assessment of dental caries prevention program applied to a cohort of elementary school children of Kebemer, a city in Senegal",10.4103/2231-0762.189736,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986564748&doi=10.4103%2f2231-0762.189736&partnerID=40&md5=54a3d2c220eb1b775aa4ee50eb938ea3,2016
330,Dietary fluoride intake and associated skeletal and dental fluorosis in school age children in rural Ethiopian Rift Valley,10.3390/ijerph13080756,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979697049&doi=10.3390%2fijerph13080756&partnerID=40&md5=45924576c1101a86bc142c891cc40724,2016
331,"Prevalence of developmental dental hard-tissue anomalies and association with caries and oral hygiene status of children in Southwestern, Nigeria",10.1186/s12903-016-0236-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978492645&doi=10.1186%2fs12903-016-0236-6&partnerID=40&md5=f2f0c7076f635c18cc21fd04e8e44ab7,2016
332,Malocclusion and early orthodontic treatment requirements in the mixed dentitions of a population of Nigerian children,10.4103/2278-0203.186164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074162031&doi=10.4103%2f2278-0203.186164&partnerID=40&md5=cd1de5bd548d884d9f959c30c4192d34,2016
333,Periodontal disease in patients with rheumatoid arthritis in sub-Saharan Africa: A case-control study,10.1016/j.rhum.2016.01.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964300270&doi=10.1016%2fj.rhum.2016.01.010&partnerID=40&md5=79d44362faf4ff15a3b85173df1a70bd,2016
334,Third molar maturity index (I3M) for assessing age of majority in a black African population in Botswana,10.1007/s00414-016-1344-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961164197&doi=10.1007%2fs00414-016-1344-1&partnerID=40&md5=d22b5a88859df18e3ea760bc09ad0ad2,2016
335,"Hypomineralised second primary molars: Prevalence, pattern and associated co morbidities in 8- to 10-year-old children in Ile-Ife, Nigeria",10.1186/s12903-016-0225-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973164040&doi=10.1186%2fs12903-016-0225-9&partnerID=40&md5=7f8e4bda4eeca8e15d3ccfa78bd64852,2016
336,Undergraduate dental education in Nigeria: perceptions of dental students and recent dental graduates,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055074991&partnerID=40&md5=355b8b1b9e4e15869bd8aaf1df3c24e6,2016
337,"Facial Bone Fractures in Ile-Ife, Nigeria: An Update on Pattern of Presentation and Care",10.1007/s12663-015-0826-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019497864&doi=10.1007%2fs12663-015-0826-x&partnerID=40&md5=08c685973ec6a14194e4ea0a531dc928,2016
338,Dental needs of intellectually disabled children attending six special educational facilities in Cape Town,10.7196/SAMJ.2016.v106i6.11006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973138908&doi=10.7196%2fSAMJ.2016.v106i6.11006&partnerID=40&md5=b84e8a3192650672a7cc189d449b28fc,2016
339,Use of caries prevention tools and associated caries risk in a suburban population of children in Nigeria,10.1007/s40368-016-0227-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971265381&doi=10.1007%2fs40368-016-0227-y&partnerID=40&md5=e308c5916c33e021add8ba1996a195d9,2016
340,"Oral health status, knowledge, attitudes and behaviours among marginalized children in Addis Ababa, Ethiopia",10.1177/1367493515569328,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966728279&doi=10.1177%2f1367493515569328&partnerID=40&md5=a2be80a0b7caf9760b0471db6d565c00,2016
341,Sugar consumption and dental caries experience in Kenya,10.1111/idj.12208,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963801086&doi=10.1111%2fidj.12208&partnerID=40&md5=9d5f38e5ba0dba40c9f2d59058512318,2016
342,A retrospective review of 61 cases of adenomatoid odontogenic tumour seen in five tertiary health facilities in Nigeria,10.11604/pamj.2016.24.102.9400,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979273084&doi=10.11604%2fpamj.2016.24.102.9400&partnerID=40&md5=85806f8ba7ea3e326221f5d2e956e908,2016
343,"Utilization of dental services among secondary school students in Port Harcourt, Nigeria",10.4103/2278-9626.179546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009170432&doi=10.4103%2f2278-9626.179546&partnerID=40&md5=deec36e752e73c91bc076c9b918580e8,2016
344,"Prevalence of early childhood caries among preschool children in Johannesburg, South Africa",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985898318&partnerID=40&md5=aae083ba7cebce1e2b5db686018242a9,2016
345,Odontogenic tumors in Port Harcourt: South-South geopolitical zone of Nigeria,10.4103/0973-029X.185934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979530195&doi=10.4103%2f0973-029X.185934&partnerID=40&md5=8591e33ef311bc3ded04f3702e029350,2016
346,Oral health knowledge and practice of 12 to 14-year-old Almajaris in Nigeria: A problem of definition and a call to action,10.1057/jphp.2016.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978737317&doi=10.1057%2fjphp.2016.10&partnerID=40&md5=67955fbe627fd154ddbca0b6870d2f21,2016
347,Orofacial soft tissue reconstruction with locoregional flaps in a health resource-depleted environment: Experiences from Nigeria,10.5999/aps.2016.43.3.265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969674033&doi=10.5999%2faps.2016.43.3.265&partnerID=40&md5=2cff22f4804af11a3980d1f66408754b,2016
348,Craniofacial orthodontics and postgraduate orthodontic training in Nigeria,10.4103/1119-3077.179277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963773274&doi=10.4103%2f1119-3077.179277&partnerID=40&md5=70e701628a204c86959758c777525597,2016
349,Caregivers′ perception of oral health-related quality of life in a group of Nigerian children living with human immunodeficiency virus,10.4103/1119-3077.179281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963741794&doi=10.4103%2f1119-3077.179281&partnerID=40&md5=529e70aafa085f2f051a1a5f77a80d32,2016
350,Clinical characteristics and presentation of ameloblastomas: An 8-year retrospective study of 240 cases in Eastern Nigeria,10.1016/j.bjoms.2015.08.264,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942062478&doi=10.1016%2fj.bjoms.2015.08.264&partnerID=40&md5=152034add560fc1ddd4555a415a06ecf,2016
351,"Ethnic and gender comparison of rugae patterns among clinical dental trainees in Ibadan, Nigeria",10.11604/pamj.2016.23.204.8584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975282720&doi=10.11604%2fpamj.2016.23.204.8584&partnerID=40&md5=7000bb35f94a547165a30a3a4a900930,2016
352,"Knowledge and awareness of medical doctors, medical students and nurses about dentistry in Nigeria",10.11604/pamj.2016.23.172.7696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975282798&doi=10.11604%2fpamj.2016.23.172.7696&partnerID=40&md5=20cdcf58714f7b6579977ca0d79c16a2,2016
353,"Assessment of the sociodemographic characteristics and efficacy of screening for oral, head and neck potential malignant lesions in apparently healthy adults in Jos Nigeria",10.4103/0019-509X.197713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009502166&doi=10.4103%2f0019-509X.197713&partnerID=40&md5=202375ff91011965e5335046b595d811,2016
354,"Association between dental caries and body mass index in 12-15 year old private school children in Ibadan, Nigeria",10.1016/j.pdj.2015.12.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992308871&doi=10.1016%2fj.pdj.2015.12.001&partnerID=40&md5=ec83c864bbe2940c45b84bbfa41196b3,2016
355,Evaluating the potential impact of a mobile telemedicine system on coordination of specialty care for patients with complicated oral lesions in Botswana,10.1093/jamia/ocv140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964956090&doi=10.1093%2fjamia%2focv140&partnerID=40&md5=8b26e358f4d69fe49889ae9eb5f92d30,2016
356,Paucity of HPV-related Head and Neck Cancers (HNC) in Nigeria,10.1371/journal.pone.0152828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962840813&doi=10.1371%2fjournal.pone.0152828&partnerID=40&md5=e12c3349aa6c962a041be0a79358a1bc,2016
357,"Barriers and facilitators of dental service utilization by children aged 8 to 11 years in Enugu State, Nigeria",10.1186/s12913-016-1341-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961160013&doi=10.1186%2fs12913-016-1341-6&partnerID=40&md5=688c54eeba146b004e1970f792dd768a,2016
358,"Magnitude of dental caries, missing and filled teeth in Malawi: National Oral Health Survey",10.1186/s12903-016-0190-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960092365&doi=10.1186%2fs12903-016-0190-3&partnerID=40&md5=2a1e9d8813109ed553c246989849e911,2016
359,Influence of the removable partial denture acrylic resin on oral health and quality of life,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003051799&partnerID=40&md5=7338af99ea8e7a81671e2224e35333f7,2016
360,Frequency and distribution of teeth treated by single- and multiple- visit root canal treatment in a Nigerian population by differently skilled operators,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003046084&partnerID=40&md5=8a9a07bb0748d5f20cf38ea896ebe967,2016
361,Periodontal status and its association with self-reported hypertension in non-medical staff in a university teaching hospital in Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003045611&partnerID=40&md5=325be9ef05f22ebe57be4576db384e77,2016
362,Oral health knowledge and practices of dentists practicing in a teaching hospital in Nigeria,10.4103/0970-9290.183124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973163262&doi=10.4103%2f0970-9290.183124&partnerID=40&md5=2e3dcf59c2de8d598b267a41e8eeb1a4,2016
363,Prevalence and intensity of bacteraemia following orthodontic procedures,10.1016/j.ortho.2015.12.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958225651&doi=10.1016%2fj.ortho.2015.12.001&partnerID=40&md5=5e1d1236cb7887affee01a6bebc6ef0d,2016
364,Pattern of traumatised anterior teeth among adult Nigerians and complications from late presentation,10.1186/s13104-016-1871-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957606493&doi=10.1186%2fs13104-016-1871-3&partnerID=40&md5=1d9c6bf063a51f961b52ebd1b87ec8bf,2016
365,Digit sucking habit and association with dental caries and oral hygiene status of children aged 6 months to 12 years resident in semi-urban Nigeria,10.1371/journal.pone.0148322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960869411&doi=10.1371%2fjournal.pone.0148322&partnerID=40&md5=114d1462294efd8c29bfc4f6ff2eb4c9,2016
366,Poor dental health resulting to dental infections among South Sudanese refugees,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034047222&partnerID=40&md5=72ce490081143930df236a442ef49079,2016
367,Dental Treatment Needs among Children and Adolescents Residing in an Ugandan Orphanage,10.17796/1053-4628-40.6.486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021853268&doi=10.17796%2f1053-4628-40.6.486&partnerID=40&md5=24c00d1084aa8d55daa84d9d3b9a5693,2016
368,"Effect of referral for dental service on dental-service utilization by primary school children aged 8 to 11 years in Enugu, Nigeria",10.20396/bjos.v15i2.8648767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020024913&doi=10.20396%2fbjos.v15i2.8648767&partnerID=40&md5=b0efbf701f99c29f20d6ca24295ef9a4,2016
369,Does social vulnerability for caries predict caries status of children in sub-urban Nigeria?,10.20396/bjos.v15i1.8647130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019999521&doi=10.20396%2fbjos.v15i1.8647130&partnerID=40&md5=d818f27415f17753b64969eca7d4c231,2016
370,Awareness of dental implants among dental patients in Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017170197&partnerID=40&md5=30b7c71a599c27a78321a495cdd009e4,2016
371,Caries and dental erosion: Are soroti children and adolescents at risk from increased soft-drink availability in Uganda?,10.4314/ahs.v16i4.9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014804260&doi=10.4314%2fahs.v16i4.9&partnerID=40&md5=d15dc93a6623e4692a3529ab2eb932c2,2016
372,Dental care risk management provided by social protection institutions of Senegal,10.4081/jphia.2015.564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007383107&doi=10.4081%2fjphia.2015.564&partnerID=40&md5=b2c1eec6398d333b89cdcabacef7c3b7,2016
373,"Risk factors of early childhood caries among children in Enugu, Nigeria",10.4034/PBOCI.2016.161.40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994713154&doi=10.4034%2fPBOCI.2016.161.40&partnerID=40&md5=1df92656e67f154eda7c2d00f3990dc0,2016
374,Pattern of utilisation of dental health care among HIV-positive adult Nigerians,10.3290/j.ohpd.a35302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493322&doi=10.3290%2fj.ohpd.a35302&partnerID=40&md5=56c7b9bc47b4d5b32fcc2a4868ec1086,2016
375,Distinguishing the signals of gingivitis and periodontitis in supragingival plaque: A cross-sectional cohort study in Malawi,10.1128/AEM.01756-16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987897232&doi=10.1128%2fAEM.01756-16&partnerID=40&md5=504574e6c8e423cb22d2553f0296c099,2016
376,"Prevalence and distribution of oral health knowledge according to sociodemographic, behavioural and clinical characteristics in selected coastal districts of Tanzania",10.4314/thrb.v18i3.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983385222&doi=10.4314%2fthrb.v18i3.1&partnerID=40&md5=1d76d5017bad59fc38dfd63ba7b2e6a7,2016
377,"Community knowledge, attitude and practices (KAP) on fluorosis and its mitigation in endemic areas of Ethiopia",10.18697/ajfand.73.15480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979651879&doi=10.18697%2fajfand.73.15480&partnerID=40&md5=1ed9b1b9e40ec68abf39ed6d91713316,2016
378,The pattern of traumatic dental injuries in children in a tertiary health care facility in Nigeria,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978756693&partnerID=40&md5=7d242d3c7cfb02439de23cba547e51f9,2016
379,"Prevalence of gingivitis and perception of gingival colour among pregnant women attending the antenatal clinic of Lagos University Teaching Hospital, Idi-Araba",10.4103/0975-8844.181930,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969820313&doi=10.4103%2f0975-8844.181930&partnerID=40&md5=32f16e38fd6d464fe52e9e380c5633b1,2016
380,"Assessment of oral health promotion services offered as part of maternal and child health services in the Tshwane Health District, Pretoria, South Africa",10.4102/phcfm.v8i1.794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963758394&doi=10.4102%2fphcfm.v8i1.794&partnerID=40&md5=c74586700c713fe04c44f6e2df669019,2016
381,"The types, incidence and demographic distribution of benign oral and maxillofacial neoplasms among patients attending Muhimbili National hospital in Tanzania, 2008-2013",10.4314/thrb.v18i2.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963547277&doi=10.4314%2fthrb.v18i2.2&partnerID=40&md5=1ad37f4c02b8dcf208f4328931ce2fc5,2016
382,Randomized Clinical Trial of Intraosseous Methylprednisolone Injection for Acute Pulpitis Pain,10.1016/j.joen.2015.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959496194&doi=10.1016%2fj.joen.2015.09.003&partnerID=40&md5=01552f611fee7557088e1f9907dd8349,2016
